French | English
ce sera tout | that will be all
coupure | cut
divertir | entertain
"virus | virus, viruses"
pour qu' | so that
soigner | treat
cabinet médical | doctor's office
pour que | so that
"guérir | to cure, cure, healing"
sein | breast
"réveillé | awake, waking, woke"
cancer | cancer
"bâiller | yawn, yawning"
rouge à lèvres | lipstick
ronfler | snore
pourri | rotten
lèvre | lip
mûr | ripe
"façade | outside, front"
"cheminée | fireplace, chimney"
miette | crumb
poussette | stroller
"gâté | spoiled, rotten"
sans alcool | alcohol-free
apéro | aperitif
sieste | nap
oreiller | pillow
"lessive | laundry, washes, detergent"
maillot | jersey
"composé | dialed, entered, composed"
"coureur | racer, runner"
poignet | wrist
médaille | medal
tour de france | Tour de France
"athlétisme | track, athleticism"
cyclisme | cycling
motivé | motivated
handisport | parasports
communication | communication
nombreux | numerous
"malgré | despite, in spite of, against"
défaite | loss
arbitre | referee
championnat | championship
victoire | win
sincèrement | honestly
diffuser | broadcast
tendance | trend
info | piece of news
"pub | ad, commercial"
"télécommande | remote control, remote"
"à peu près | around, more or less, about"
à partir | starting from
"réel | real, actual, true"
"informer | inform, brief"
bêtise | something stupid
documentaire | documentary
actualité | current events
téléspectateur | viewer
présentateur | host
"directement | directly, straight, immediately"
concierge | concierge
ça y est | there you go
"accrocher | hanging, hang, attach"
"carton | cardboard box, box"
bricolage | do-it-yourself projects
"faut | must, need"
cave | cellar
grenier | attic
facture | bill
appareil électroménager | appliance
électricien | electrician
gaz | gas
plombier | plumber
fuite | leak
"armée | armed, army"
"officier | official, officer"
capitaine | captain
"soldat | soldier, serviceman"
"ordre | command, nature, tidiness"
à la retraite | retired
pendant ce temps-là | meanwhile
ange | angel
peu à peu | little by little
peu après | a little after
séduire | charm
maire | mayor
punir | (to) punish
"adapter | score, adapted, adapt"
beau-parent | step-parent
"élever | to raise, raise"
extraverti | outgoing
"totalement | totally, completely"
coquillage | seashell
"phare | headlight, lighthouse"
"courant | everyday, running, runs"
rivage | shore
femelle | female
"taureau | Taurus, bull"
"bouger | move, to move, moving"
mâle | male
Suède | Sweden
Norvège | Norway
"glacé | iced, ice, freezing"
"ruisseau | stream, burned"
baie | bay
bruyamment | loudly
falaise | cliff
"geler | to freeze, freeze"
vallée | valley
loup | wolf
"galerie | collection, gallery"
valeur | value
beauté | beauty
"point de vue | viewpoints, point of view"
"aient | will have, have"
"marquer | beat, score, scoring"
"terrain | court, field, lot"
score | score
entraîneur | coach
à l'avance | in advance
"ait | has, have"
chut | shush
entracte | intermission
"séance | session, showing, show"
"spectateur | spectator, audience member"
chef-d'œuvre | masterpiece
arrière-plan | background
métal | metal
accessoire | accessory
"exiger | exact, requires, required"
"approprié | appropriate, suitable"
remboursement | refund
concernant | regarding
"renvoyer | return, gave, getting"
"d'autres | others, some more"
"plaindre | feels, felt"
"rapporter | bring back, produced"
tache | stain
"abîmé | damaged, worn"
"vitrine | window display, window"
acceptable | acceptable
"suspendre | hang, suspend"
cintre | hanger
fer à repasser | iron
choquant | shocking
"souffrir | suffering, suffer, (to) suffer"
"raisonnable | reasonable, safe"
comportement | behavior
"aillent | go, (they) are going, going"
injuste | unfair
"déprimer | get, got, get depressed"
"dépendre | depends, to depend, depend"
"actif | athletic, active"
social | social
"divorce | divorce, divorcing"
"relire | to review, reading again, rereading"
"recherche | am searching for, search, research"
labo | lab
"enverraient | play, would send"
"sévère | tough, strict, hardest"
"égal | even, equal, level"
"progrès | increase, progress, progression"
maths | math
brouillon | rough draft
"enverrait | mail, play, would send"
"lecteur | player, (language) teaching assistant, reader"
volume | volume
"rang | positions, strand, rank"
"souligner | (to) underline, (to) outline, (to) emphasize"
"principalement | mainly, mostly, principally"
"période | period, terms, stretch"
"cause | is causing, cause, causes"
rubrique | section
"mentionner | (to) mention, mention"
"tiers | third, third party, outsider"
"cas | case, in any case, cases"
"plupart | most, most part"
pauvreté | poverty
officiel | official
"échange | exchanges, exchange"
développement | development
"causer | to cause, caused"
"économique | economical, economic, economics"
homme politique | politician
peuple | people
"système | dodge, scheme, system"
total | total
ministre | minister
crime | crime
"diminuer | (to) decrease, (to) lower, drops"
"augmenter | grew, (to) turn up / increase, pay"
"extrêmement | extremely, highly, incredibly"
"bonne affaire | good deal, bargain"
"fonctionner | work, go, to operate"
"convaincre | to convince, convincing, won"
"qualité | quality, strength"
poudre | powder
brouillé | crossed
cacao | cocoa
frire | to fry
"quantité | amount, quantity"
surgelé | frozen
typique | typical
ratatouille | ratatouille
"cuire | bake, cook"
à moitié | half
"concours | competition, contest, competitive exam"
macaron | macaron
"fondre | melt, cast"
huître | oyster
profondément | deeply
vœu | wish
admettre | admit
"réaliser | realize, direct, achieving"
"promettre | promises, promise"
signifier | mean
répondeur | voicemail
code postal | zip code
technologie | technology
"pensée | idea, thought"
"combien de temps | how much time, how long"
station-service | gas station
moyen de transport | means of transport
gazole | diesel
banc | bench
ambassade | embassy
va-t'en | go away
allez-vous-en | go away
"récent | new, newly built, recent"
"déposer | drop off, drops, check"
pigeon | pigeon
maçon | builder
"détruire | to destroy, dispose, clearer"
"construire | build, building"
"normalement | normally, usually, generally"
vaut | is worth
"valent | (they) apply/are applying, (they) are worth, (they) are as good as"
"fabriquer | run, runs, ran"
"publier | printed, run, published"
"importance | importance, amount, extent"
retraite | retirement
"inventer | make, makes, made"
syndicat | union
détendu | relaxed
calmement | calmly
désordonné | messy
le plus tôt possible | as soon as possible
en particulier | in particular
"ailleurs | somewhere else, elsewhere"
citoyen | citizen
"épouser | marry, marrying"
"province | province, outside the capital"
"banlieue | suburbs, suburb"
bonheur | happiness
pare-brise | windshield
rayon | aisle
géant | giant
salon de beauté | beauty salon
"surprendre | catch, surprise, surprised"
briller | shine
"barbier | barbershop, barber"
en commun | common
"familier | informal, familiar, regular"
"cloche | cloche, clod, (you) be faulty!"
"canal | canal, duct, channel"
religion | religion
chrétien | christian
bouddhiste | Buddhist
"athée | atheist, atheistic"
musulman | Muslim
hindou | hindu
"juif | Jewish man, Jew, Jewish"
cerveau | brain
clinique | clinic
"soient | is, will be, be"
en urgence | urgently
"enceinte | pregnant, speaker"
nécessaire | necessary
opération | operation
"soit | is, (will) be, be"
innocent | innocent
"juger | places, judged, tried"
"coupable | guilty, culprit"
"tribunal | courthouse, court"
reconnaissant | grateful
commissariat | police station
pickpocket | pickpocket
prison | prison
criminel | criminal
cambrioleur | burglar
détective | detective
véhicule | vehicle
"frein | check, brake"
cambrioler | burglarize
d'âge moyen | middle-aged
"attaquer | began, fallen, fall"
"inquiétant | alarming, disturbing, worrying"
tablette | tablet
appli | app
communiquer | to communicate
"puisque | as, since"
"arracher | pull out, grab, take"
gros titre | headlines
"linge | laundry, linen"
"plier | fold, bend, folding"
panier | basket
repasser | to iron
en désordre | a mess
cadre | frame
"fil | wire, thread"
"décorer | dressed, decorate, dresses"
anniversaire de mariage | wedding anniversary
étonner | surprise
mondialement | internationally
cycliste | cyclist
"description | picture, inventory, description"
"prudent | careful, sensible"
"effectivement | indeed, actually, effectively"
coincé | stuck
frontière | border
distance | distance
tunnel | tunnel
"risquer | faces, risking"
terriblement | terribly
visa | visa
sac de couchage | sleeping bag
dangereusement | dangerously
"guichet | ticket booth, window"
rail | rail
"tromper | deceive, deceiving, cheat"
"entourer | rang, attend, attends"
"pierre | stone, Pierre"
"baigner | bathe, swim"
âne | donkey
"chasser | hunting, to hunt, cast"
"paisible | peaceful, lazy"
chauve-souris | bat
rare | rare
"tondre | mow, mowing"
"suffire | last, don't, does"
régulièrement | regularly
"arroser | to water, water, watering"
"creuser | digging, to dig"
de plein air | outdoor
détendre | relax
jardinage | gardening
"planter | planting, plant"
enseignement secondaire | secondary education
"évaluer | testing, tested, evaluate"
"technique | technique, technical subjects, technical"
"connaissance | experience, consciousness, knowledge"
"encourager | encourage, should, cheering"
alphabet | alphabet
enseignement | teaching
à voix haute | out loud
"enseignant | teacher, instructor"
attestation | certificate
inscription | registration
"corriger | correct, correcting"
"échec | failure, failed"
préparation | preparation
"exact | exact, correct"
méthode | method
différemment | differently
chapitre | chapter
"passionnant | fascinating, exciting"
d'aventure | adventure
"paroles | lyrics, words, paroles"
admirer | admire
génération | generation
"bande dessinée | comic book, comic books"
science-fiction | science-fiction
"robot | food processor, robot, mixer"
"humain | human being, humane, human"
"être humain | man, human being"
"titre | headline, title"
créature | creature
réaliste | realistic
"effet | effect, impression, spin"
d'amour | love
à la main | by hand
personnage | character
animation | animation
"cruel | cruel, bitter"
orage | thunderstorm
"tonnerre | thunder, round"
"foudre | thunderbolt, lightning, bolt of lightning"
"branche | branch, plug in, plugs in"
éteindraient | would turn off
jetteraient | would throw away
"tas | loads, piles, bunch"
"coffre | chest, trunk"
alarme | alarm
serrure | lock
jetterait | would throw away
éteindrait | would turn off
"prise | made, took, taken"
"ampoule | light bulb, lightbulbs, lightbulb"
outil | tool
radiateur | radiator
"parmi | among, amongst"
perte de temps | waste of time
"héros | heroes, hero"
"démissionner | quit, quitting, to quit"
"sauraient | knew, told, would know"
pourraient | could
"feraient | would do, would make"
association | organization
à peine | hardly
nous-mêmes | ourselves
vous-même | yourself
concurrent | competitor
"particulièrement | particularly, especially, in particular"
"ferait | would do, would prepare, would make"
"saurait | would know, would know how to"
toi-même | yourself
moi-même | myself
"indépendant | separate, independent"
expert | expert
aile | wing
"cigale | cricket, cicada"
chameau | camel
paysage | landscape
"sommet | summit, top"
"seraient | were, felt, would be"
"iraient | travel, go, (they) would fit"
auraient | would have
"station balnéaire | beach resort, resort"
humide | humid
"port | harbour (UK), port, harbor"
"aurait | would have, get, might have"
"serait | would be, might be"
"irait | would go, would suit"
ensoleillé | sunny
"imaginer | imagining, to imagine"
imagination | imagination
"décontracté | casual, casually"
mannequin | model
de sport | athletic
ceux dont | the ones that
de valeur | valuable
cérémonie | ceremony
"coudre | to sew, sew"
abîmer | damage
coiffure | hairstyle
"tenue | outfit, held"
"motif | pattern, model"
coloré | colorful
uni | plain
"déchirer | rented, to tear, renting"
ce dont | what
"modèle | design, model"
similaire | similar
"montant | amount, getting on, climbing"
"occasion | chance, occasion, opportunity"
"excuses | apologies, excuses, apology"
"respect | respect, respects"
comporter | contains
"excuser | excuse, apologize"
voisinage | neighborhood
honnêtement | honestly
arabe | Arabic
d'à côté | next door
handicapé | disabled
"adapté | adapted, accessible, suitable"
fauteuil roulant | wheelchair
"filer | to run, tail"
"tutoyer | be on familiar terms, use tu with"
vie nocturne | nightlife
époux | spouse
britannique | British
vouvoyer | to use vous with
"ravi | thrilled, pleased, ravi"
"fond | back, bottom"
en libre-service | self-service
"sécurité | safety, security"
bureau de tabac | tobacco store
mode d'emploi | user manual
"chauffage | heating, heat, heater"
millimètre | millimeter
longueur | length
largeur | width
centimètre | centimeter
"bas | bottom, low, downs"
"mesurer | measure, evaluate"
"minuscule | tiny, brief"
propriété | property
visite guidée | guided tour
"guider | informed, guided, inform"
"annoncer | announcing, announce, spells"
"voie ferrée | railroad track, railroad"
en vente | for sale
"transport | transports, transportation, transport"
"durée | length (time), term"
retour | return trip
"douter | doubts, doubt"
"embarquer | board, boarding, to board"
"local | place, local, localized"
libérer | check out of
"rechercher | search for, to search for"
aller simple | one-way ticket
aller-retour | round-trip ticket
"gérer | managing, to manage, manage"
"magique | magic, magical"
"veille | ensure, ensures"
"apparaître | appear, presented, appeared"
immense | huge
appartenir | belong
et en plus | and what's more
"se coucher | to go to bed, lie"
"tenir | laid, fits, hold"
"se lever | get up, rise up, stand up"
"dirait | would say, would tell, said"
"souffler | pants, blow"
bougie | candle
en dernier | last
en premier | first
gardien de but | goalkeeper
excuse | excuse
"situer | place, set"
effrayer | scared
"silence | silence, pause, be quiet"
tente | tent
"bouillir | to boil, to seethe"
ouais | yeah
livrer | deliver
promesse | promise
d'ailleurs | besides
bâton | stick
"parent | parent, parry, fend off"
flûte | flute
à suspense | thriller
divertissement | entertainment
studio | studio
horreur | horror
"achat | buying, purchase"
balcon | balcony
"deviner | guessing, guess"
au chômage | unemployed
inconvénient | disadvantage
architecture | architecture
industrie | industry
jour de congé | day off
avantage | advantage
salaire | salary
"postuler | apply, applying, to apply"
contrat | contract
"peut-être que | perhaps, maybe"
à temps partiel | part time
à temps plein | full time
chimiste | chemist
n'importe quoi | anything
météo | weather
fourmi | ant
"prévision | forecast, expectations"
n'importe quand | anytime
requin | shark
"plonger | dive, dived"
dauphin | dolphin
"éviter | avoid, stay away from, avoids"
boue | mud
"plutôt | rather, instead, quite"
moustique | mosquito
"étroit | narrow, test"
grotte | cave
personnellement | personally
rouler | to drive
"vivant | lively, alive, living"
"empêcher | prevent, preventing"
immigration | immigration
"diriger | lead, leading"
"exister | (to) exist, (to) be"
coupe de cheveux | haircut
élection | election
"vote | vote, am voting, votes"
président | president
pour cent | percent
chômage | unemployment
permettre | (to) allow
"actuel | going, current"
"société | society, company, corporation"
homosexuel | gay
"communauté | commune, community"
nombre | number
"politique | political, politics"
gouvernement | government
population | population
loi | law
soutien | support
"voix | voice, voices, votes"
clé usb | flash drive
"inscrire | enroll, register"
"primaire | elementary, animal"
"distribuer | gave, deliver, divided"
biographie | biography
dissertation | essay
en effet | indeed
d'occasion | used
"traduisent | translate, are translating"
"traduire | translate, translating"
le droit | allowed
température | temperature
"épaule | (he/she/it) takes aim with, (he/she/it) shoulders/is shouldering, (I) help"
"épuiser | spent, work, tire"
souhaits | wishes
air | air
respirer | breathe
allergie | allergy
"pur | pure, clean, straight"
"éternuer | sneeze, sneezing, sneezed"
avis | opinion
après qu' | after
"poids | weight, burden, influence"
médical | medical
"peser | (to) weigh oneself, weigh, (to) carry weight"
après que | after
"pouce | thumb, inch"
cheville | ankle
talon | heel
"merci de | please, thank you for"
pharmacien | pharmacist
tousser | cough
ordonnance | prescription
"selon | according to, after, depending on"
juge | judge
traduction | translation
candidature | application
option | option
"efficace | efficient, effective"
rapport | report
conclusion | conclusion
signature | signature
"entretien | meeting, interview"
présentation | presentation
pas mal | not bad
"effrayant | scary, spooky"
"propriétaire | owner, homeowner"
camionnette | van
facteur | mail carrier
décision | decision
discussion | discussion
alors que | whereas
ennuyer | worry
"ramasser | clearer, clear, round"
bouton | button
étiquette | label
"poil | touch, pile, shred"
"sage | well-behaved, wise"
pantoufle | slipper
"reconnaître | recognise, know, knew"
chiot | puppy
"apercevoir | can see, catch a glimpse of"
"mordre | bite, bit"
baby-sitter | babysitter
"pareil | identical, the same, alike"
prince | prince
personnalité | personality
"impoli | rude, impolite, rudest"
"gênant | embarrassing, inconvenient"
"curieux | odd, curious, funny"
"situation | situation, pictures"
charmant | charming
jumeau | twin
gentiment | kindly
"embrasser | (to) kiss, (to) embrace (an idea)"
"sensible | sensitive, emotional"
boîte aux lettres | mailbox
surnom | nickname
invention | invention
sans arrêt | nonstop
poli | polite
"plaisanter | to joke around, joking, fun"
tronc | trunk
monstre | monster
fantôme | ghost
danse classique | classical dance
"jeunesse | youth, early period, early years"
"chariot | shopping cart, cart"
plus jamais | never again
enfance | childhood
bronzé | tan
papiers | ID papers
tarif | rate
carte d'embarquement | boarding pass
"palais | palace, palaces"
maison de vacances | vacation home
logement | housing
"tour | stroll, tower, tour"
avec enthousiasme | enthusiastically
"historique | historic, historical"
train de nuit | night train
extraordinaire | extraordinary
"trajet | journey, ride, commute"
luxe | luxury
explorer | explore
croisière | cruise
perroquet | parrot
expédition | expedition
de toute façon | at any rate
"doute | doubt, doubts"
"hésiter | hesitate, hesitating, pause"
au courant | aware
après-demain | the day after tomorrow
au fait | by the way
"quand même | anyway, even if, all the same"
coucou | hi
en attente | on hold
veuillez | please
appel | call
"patienter | wait, waiting"
pour le moment | at the moment
"touche | touch, touches, moves"
"composer | writing, compose, to enter"
"appuyer | press, lean, pressing"
allô | hello
"raccrocher | hanging up, hang up"
décrocher | pick up
"noter | written, writing, getting"
objectif | goal
éducation | education
"économie | economics, economy"
"compter | counting, count"
prononciation | pronunciation
"écriture | writing, handwriting"
licence | bachelor's degree
effort | effort
"réviser | study, studying"
"obtenir | to get, to obtain, to secure"
"soutenir | to support, to support each other, to maintain"
"scientifique | scientist, scientific, science"
"laboratoire | laboratory, lab"
en plein air | outdoors
"os | bone, esker"
arête | bones
"boucherie | butcher shop, butcher's (UK)"
"goutte | dropped, drop, drops"
"verser | pour, pouring"
"remuer | stir, stirring, to stir"
noix de coco | coconut
"gaspiller | waste, wasting"
aliment | food
épais | thick
"noix | walnut, walnuts, nut"
"dont | that ... of, of whom, that"
biologique | organic
"débarrasser | to clear, clear"
"poêle | frying pan, pan"
"casserole | pot, saucepan"
plongeur | diver
baleine | whale
plongée | scuba diving
"observer | watched, watch, observe"
squash | squash
"finale | final, finals"
footing | jogging
"boxe | boxing, boxes, box"
hibou | owl
hiboux | owls
"ski | skiing, ski"
"piste | trail, dance floor, track"
"bonnet | beanie, hat"
cascade | waterfall
"couler | sink, sinking, run"
natation | swimming
"voile | sail, sailing, veil"
naviguant | sailing
"planche à voile | windsurfing, windsurfing board"
"flotter | swimming, swim, drive"
gymnase | gym
gymnastique | gymnastics
coude | elbow
"record | record, records"
"applaudir | applaud, clapping, clap"
"acte | act, action"
"œuvre | work, work of art, oeuvres"
"principal | main, principal, lead"
réalisateur | director
portrait | portrait
sculpture | sculpture
sculpteur | sculptor
par qui | by whom
"décoration | decoration, set design, interior design"
éclairé | lit up
traditionnel | traditional
éclairer | light up
feuilleton | series
"gâcher | ruin, messing, spoiling"
tradition | tradition
"recommander | recommend, recommended"
créateur | designer
collection | collection
annuel | annual
par hasard | by chance
"ombre | shadow, shade"
mystère | mystery
"drogue | drug, drugs"
quelque part | somewhere
après être | after
cage | cage
"sauver | saving, save"
catastrophe | catastrophe
silencieux | silent
"après avoir | after, after having"
"disparaître | disappear, vanish"
sur le point de | about to
incendie | fire
fumée | smoke
en dessous | underneath
"toucher | touch, touched, touching"
cafetière | coffee maker
salle à manger | dining room
désordre | mess
"il va y avoir | there is going to be, there will be"
"évidemment | obviously, of course, clearly"
table de chevet | nightstand
lave-vaisselle | dishwasher
baignoire | bathtub
vase | vase
"échelle | ladder, runs"
la vaisselle | the dishes
"enlever | remove, removing, cast"
"objet | purpose, object, thing"
vaisselle | dishes
balai | broom
aspirateur | vacuum
spécialiste | specialist
"obligatoire | obligatory, mandatory"
"reporter | reporter, push back, postpone"
supplémentaire | extra
tout à l'heure | later
"fixer | laid, (to) set, name"
opportunité | opportunity
bavard | talkative
contrarier | crossed
surprenant | surprising
"rembourser | refund, pay back for, pay back"
assistant | assistant
"proposer | proposing, offering, offer"
"copie | copy, copies"
informatique | computer science
"sélectionner | lines, select, clothes"
fichier | file
pièce jointe | attachment
téléchargement | download
"électronique | electronic, electronics"
blogueur | blogger
"installer | install, set up, to install"
brancher | plug in
"logiciel | software, program"
débrancher | unplug
"supprimer | written, writing, waste"
déconnecter | log out
indispensable | essential
dernièrement | lately
"ex | ex, exes"
énervant | annoying
"ordinaire | ordinary, regular"
humour | humor
façon | way
"en secret | secret, in secret"
avant-hier | the day before yesterday
"détester | (to) hate, (to) detest, detest"
lune de miel | honeymoon
plus maintenant | not anymore
secret | secret
relation | relationship
tisane | herbal tea
"veau | veal, calf"
dinde | turkey
vinaigre | vinegar
"ni | or, neither, nor"
nappe | tablecloth
acide | sour
cerise | cherry
escargot | snail
chou | cabbage
laitue | lettuce
mayonnaise | mayonnaise
amer | bitter
vanille | vanilla
sucrerie | sweets
viennoiserie | pastry
"heures | o'clock, hours"
collants | tights
sous-vêtement | underwear
style | style
soutien-gorge | bra
à l'envers | backwards
trou | hole
col | collar
fourrure | fur
"doré | gold-colored, dorado"
argenté | silver
"manche | sleeve, English Channel"
soie | silk
pois | polka dots
"ceux | the ones, the ones (masculine)"
celles | the ones
ample | loose
rayure | striped
celle | the one (fem)
taille unique | one size fits all
"celui | the one, this"
tissu | fabric
"amélioration | improvement, upgrading"
privé | private
événement | event
"élevé | high, raised"
statue | statue
boîte de nuit | nightclub
dame | lady
"échanger | exchanges, changed, exchange"
élégant | elegant
renseignement | information
"tout à fait | absolutely, completely, exactly"
"emballer | wrap, to wrap"
mou | soft
à emporter | to go
en tout | altogether
"boucher | butcher, covers, clogged"
"sorte | kind, is going out, sort"
en même temps | at the same time
"remplacer | replace, covers"
endormir | put to sleep
contact | contact
"inutile | unhelpful, useless, unnecessary"
"incapable | incapable, unable"
expression | expression
"surveiller | watch, keep an eye on"
blog | blog
"coller | paste, stuck, failed"
"logique | logical, makes sense"
"poster | to mail, to post, mail"
"généralement | generally, usually"
comme ça | like that
incorrect | incorrect
arobase | at symbol
nom d'utilisateur | username
"point | dot, point, period"
connexion | connection
"taper | beat, to type, type"
"moins bien | worse, not as good"
lendemain | next day
drapeau | flag
"caché | hidden, secret"
naturel | natural
"glisser | to slip, slip, runs"
terrasse | terrace
culturel | cultural
"sud-ouest | southwest, southwestern"
"à travers | through, throughout, across"
"sud-est | southeast, southeastern"
"impression | impression, feeling"
contraire | opposite
un tour | a trip
"haut | upside, tall, high"
douane | customs
déclarer | to declare
paix | peace
"nord-est | northeast, northeastern"
"nord-ouest | northwest, northwestern"
état | state
pile | battery
sweat | sweatshirt
chaton | kitten
"bout | end, piece, side"
dizaine | about ten
sèche-cheveux | hair dryer
dentifrice | toothpaste
"peigner | combing, comb one's hair, combs"
tube | tube
à l'intérieur | inside
à l'extérieur | outside
sécher avec | dry in
éponge | sponge
"sécher | drying, dry, skip"
poussière | dust
"évier | sink, kitchen sink"
"découvert | got to know, discovered"
côte | coast
"énorme | enormous, huge"
peu importe | it doesn't matter
tourisme | tourism
centre | center
"attraction | attraction, draw"
bâtiment | building
visiteur | visitor
"drap | sheet, bedsheet, bed sheet"
climatisation | air conditioning
"service | favor, service, department"
"séparer | broken, broke, parts"
"ça fait | ... have been, ... has been"
"asseoir | sit down, sit, sits"
brochure | brochure
comparer | compare
"quitter | getting, quit, leave"
"animé | lively, animated"
"laid | ugly, hideous"
"fêter | to celebrate, celebrate, celebrated"
"jean | Jean, jeans, pair of jeans"
"rigoler | laughing, laugh, kid"
mairie | city hall
mal à l'aise | uncomfortable
se taire | be quiet
se déshabiller | undress
feu d'artifice | fireworks
évident | obvious
chèvre | goat
"à la mode | trendy, fashionable, in fashion"
milliard | billion
onzième | eleventh
"musical | of music, music, musical"
fiction | fiction
romantique | romantic
drame | drama
rôle | role
action | action
"sembler | sounds, seems"
"inconnu | stranger, unknown"
en direct | live
précédent | previous
sujet | subject
presse | press
"poser | to ask, ask, put"
célébrité | celebrity
"maïs | corn, maize, sweetcorn"
lardons | bacon
"saveur | flavor, taste"
épinards | spinach
"pot | jar, pot"
"goût | taste, flavor"
thon | tuna
congélateur | freezer
odeur | smell
congeler | freeze
concombre | cucumber
"mélange | is mixing, mixes, mixture"
cacahuète | peanut
fait maison | homemade
brocoli | broccoli
"suivre | follow, take, to follow"
boîte de conserve | canned good
ingrédient | ingredient
saumon | salmon
antipathique | unfriendly
"divorcer | to divorce, divorcing"
"intention | intention, purpose"
"adorable | adorable, sweet, cute"
"âgé | old, oldest, elderly"
"unique | unique, only, one-of-a-kind"
"parfaitement | perfectly, totally, utterly"
"manquer | missed, to miss, missing"
"bise | kiss, kiss on the cheek"
"se voir | show, meeting, shows"
s'entendre | get along
"aîné | older, oldest"
debout | standing
"caisse | checkout, cash register, box"
"épicerie | groceries, grocery store, grocery"
fontaine | fountain
en arrière | back
piéton | pedestrian
trottoir | sidewalk
"s'en aller | taking off, to take off, come"
camion | truck
"direction | direction, way"
panneau | sign
carrefour | intersection
"suivant | next, following"
"municipal | municipal, public"
"emmener | take, bring, brought"
"cirque | racket, shambles, circus"
"amener | to bring, take, taking"
bien réussi | done well
nulle part | anywhere
vérité | truth
"supporter | fan, tolerating"
actuellement | currently
"déménager | move, moving, to move"
réussite | success
gêner | embarrassed
"remarquer | noticing, observe, noticed"
"produit | made, produced, produces"
"livraison | dropped, delivery, drops"
"rangé | tidied, put away"
"chic | stylish, fancy, regular"
"chacun | each, everyone"
"ancien | old, former, ancient"
ne pas | not
encore plus | even more
"emploi | job, job—and"
responsabilité | responsibility
"menton | chin, chins"
sourd | deaf
"raser | shave, hugs"
faible | weak
buvant | drinking
régime | diet
aveugle | blind
grippe | flu
urgence | emergency
allergique | allergic
maladie | disease
front | forehead
fièvre | fever
gorge | throat
cachet | pill
rhume | cold
du mal à | trouble
"cacher | hiding, hide"
"habitant | staying, soul"
"surtout | especially, above all, particularly"
jungle | jungle
"mourir | die, dying, to die"
girafe | giraffe
tigre | tiger
battre | to fight
"ferme | closing, is closing, am closing"
mouche | fly
à mon avis | in my opinion
"réduire | runs, reduce, to reduce"
"trier | to sort, sorting, sort"
"recycler | to recycle, recycle, recycling"
déchet | waste
"terre | Earth, dirt, basic"
environnement | environment
pollution | pollution
"protéger | protect, to protect, protecting"
"respecter | to respect, respect, respecting"
tout à coup | suddenly
ce matin-là | that morning
"sonner | ring, to ring"
ce jour-là | that day
"falloir | be necessary, have to"
comme d'habitude | as usual
cette année-là | that year
dès que | as soon as
à ce moment-là | at that moment
"escalade | rock climbing, rock climb"
raquette | racket
avais l'habitude | used to be in the habit
"à cette époque | at that time, in those days"
"contre | against, for, in exchange for"
costaud | strong
"connu | famous, well-known, known"
"assister | attend, attending"
athlète | athlete
entraîner | train
honnête | honest
"mouchoir | tissue, handkerchief"
"tout ce qui | everything, whatever"
"disputer | argue, runs"
"couple | pair, couple"
"toutes les deux | both, they both"
"confiance | trust, confidence, faith"
"en ce moment | at the moment, moment"
"discuter | to chat, to discuss, chatting"
"ce qui | that, which, what"
impossible | impossible
grenouille | frog
forêt | forest
abeille | bee
"feuille | sheet, leaf, sheet of paper"
papillon | butterfly
"bronzer | tan, tanning"
"sable | sand, sand-coloured, (he/she/it) sand-cast/is sand-cast"
bord | edge
herbe | grass
"étoile | star, principal"
"succès | success, hit, successful"
"bravo | well done, kudos, bravo"
"organiser | to organize, runs, to host"
pingouin | penguin
original | original
comédie | comedy
poème | poem
ce qu' | what
"ce que | what, which"
"dis-moi | tell me, tell"
exprimer | express
roman | novel
talent | talent
stressant | stressful
"comptable | bookkeeper, accountant, accounting"
Écosse | Scotland
agence | agency
architecte | architect
patron | boss
courageux | brave
comédien | actor
"expérience | experiment, experience"
"sûrement | certainly, surely, most probably"
"vétérinaire | veterinarian, vet"
avenir | future
"professeure | teacher, professor"
ambition | ambition
"avocat | lawyer, avocado"
boulanger | baker
sentiment | feeling
amitié | friendship
généreux | generous
"refuser | refuse, (to) turn down, (to) decline"
"non plus | either, neither"
égoïste | selfish
espoir | hope
"méchant | mean, bad guy, villain"
faire plaisir | please
même pas | not even
stupide | stupid
"faire plaisir à | please, pleased, pleasing"
"complètement | completely, totally, absolutely"
jaloux | jealous
pardonner | forgive
"malheureux | unhappy, unfortunate, unlucky"
"plaisir | to please, pleasure"
"brillant | brilliant, shine, shining"
paragraphe | paragraph
"résultat | result, results"
explication | explanation
"énerver | annoy, annoying"
intermédiaire | intermediate
inacceptable | unacceptable
attitude | attitude
"prononcer | pronounce, pronouncing"
affaires | stuff
"rédaction | composition, essay"
fier | proud
fatigant | tiring
scolaire | school
compliqué | complicated
beaux-parents | parents-in-law
"blague | joke, kidding"
"oh là là | wow, oh my gosh"
"beau-père | father-in-law, stepfather"
mensonge | lie
"adopter | adopt, assume"
"tricoter | to knit, knitting, knit"
"belle-mère | mother-in-law, stepmother"
trompette | trumpet
"centaine | about one hundred, about a hundred"
bouquet | bouquet
"chéri | sweetheart, darling, love"
"vingtaine | about twenty, twenties"
"annonce | is announcing, announce, announcement"
"contrôler | inspect, check, test"
"durer | run, last, runs"
"direct | direct, straight"
"retarder | delay, to delay"
départ | departure
"défaire | unpacking, unpack"
"voyageur | passenger, traveler"
"atterrir | landing, to land, come"
"attacher | fasten, tie, tying"
décoller | take off
